molecule_chembl_id,canonical_smiles,standard_value,pIC50
CHEMBL2051762,C[C@H]1C[C@H](O)[C@H](O)[C@@H](O)[C@H]1N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,68.0,7.167491087293763
CHEMBL1628264,N[C@H]1C[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,110000.0,3.958607314841775
CHEMBL3349436,OCC1=C[C@H](NC(CO)CO)[C@H](O)[C@@H](O)[C@@H]1O,5900.0,5.229147988357856
CHEMBL2051978,C[C@H]1C[C@H](N)[C@H](O)[C@@H](O)[C@H]1N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,1500.0,5.823908740944319
CHEMBL2051981,CO[C@H]1O[C@H](CO)[C@@H](N[C@H]2C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,72.0,7.142667503568732
CHEMBL3349441,OC[C@@]1(O)C[C@H](NCc2cccs2)[C@H](O)[C@@H](O)[C@@H]1O,200.0,6.698970004336019
CHEMBL2374255,OC[C@@]1(O)C[C@H](NC[C@@H](O)c2ccccc2)[C@H](O)[C@H](O)[C@H]1O,5000.0,5.301029995663981
CHEMBL2051763,CO[C@H]1O[C@H](CO)[C@@H](N[C@H]2C=C(CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,7200.0,5.142667503568732
CHEMBL3349438,CC(C)=CCC/C(C)=C/CN[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,520.0,6.2839966563652006
CHEMBL2051760,CO[C@H]1O[C@H](C)[C@H](N[C@H]2C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,650.0,6.187086643357144
CHEMBL3349443,OC[C@@]1(O)C[C@H](NC/C=C/c2ccccc2)[C@H](O)[C@@H](O)[C@@H]1O,270.0,6.568636235841013
CHEMBL2051979,CO[C@H]1O[C@H](CO)[C@H](N[C@H]2C=C(CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,80000.0,4.096910013008056
